"City","State","lat","lng"
"Aaronsburg","PA",40.89869,-77.456184
"Abbeville","AL",31.559402,-85.222965
"Abbeville","GA",31.977048,-83.372515
"Abbeville","LA",29.9895185,-92.209125
"Abbeville","MS",34.471941,-89.447507
"Abbeville","SC",34.215714,-82.446307
"Abbot","ME",45.184103,-69.233382
"Abbotsford","WI",44.960186,-90.374893
"Abbott","TX",31.88454,-97.077218
"Abbottstown","PA",39.896923,-76.994725
"Abbyville","KS",38.013705,-98.169523
"Abell","MD",38.247149,-76.748088
"Abercrombie","ND",46.447936,-96.727788
"Aberdeen","ID",43.004883,-112.839971
"Aberdeen","KY",37.279564,-86.670181
"Aberdeen","MD",39.499909,-76.231177
"Aberdeen","MS",33.847638,-88.514694
"Aberdeen","NC",35.203802,-79.517795
"Aberdeen","OH",38.693525,-83.740804
"Aberdeen","SD",45.5328695,-98.3812095
"Aberdeen","WA",47.002735,-123.67129
"Aberdeen Proving Ground","MD",39.477062,-76.120824
"Abernant","AL",33.311014,-87.18975
"Abernathy","TX",33.949361,-101.81782
"Abie","NE",41.332034,-96.949369
"Abilene","KS",38.9111,-97.195283
"Abilene","TX",32.3754104,-99.8123265
"Abingdon","IL",40.927973,-90.304039
"Abingdon","MD",39.472579,-76.277279
"Abingdon","VA",36.699473,-81.9874343333333
"Abington","CT",41.847302,-72.02528
"Abington","MA",42.11749,-70.959888
"Abington","PA",40.123805,-75.114767
"Abiquiu","NM",36.219921,-106.262778
"Abita Springs","LA",30.477483,-89.955328
"Abrams","WI",44.792284,-88.044067
"Absaraka","ND",46.859694,-97.214587
"Absarokee","MT",45.515571,-109.455156
"Absecon","NJ",39.48909,-74.680323
"Acampo","CA",38.198666,-121.230207
"Accident","MD",39.58935,-79.230969
"Accokeek","MD",38.666071,-76.998396
"Accomac","VA",37.712919,-75.661132
"Accord","MA",41.970474,-70.701357
"Accord","NY",41.949147,-74.130688
"Accoville","WV",37.833204,-81.902401
"Ace","TX",30.520924,-94.822101
"Achille","OK",33.924443,-96.264411
"Achilles","VA",37.28822,-76.426013
"Ackerly","TX",32.527337,-101.715971
"Ackerman","MS",33.278252,-89.191298
"Ackermanville","PA",40.693376,-75.471156
"Ackley","IA",42.408805,-93.09251
"Ackworth","IA",41.384345,-93.424294
"Acme","LA",31.308416,-91.823219
"Acme","MI",44.789382,-85.488449
"Acme","PA",40.120149,-79.405069
"Acme","WA",48.688554,-122.186966
"Acosta","PA",40.113021,-79.070218
"Acra","NY",42.315975,-74.065515
"Acton","CA",33.786594,-118.298662
"Acton","MA",42.446396,-71.459405
"Acton","ME",43.520752,-70.804588
"Acton","MT",45.929056,-108.688831
"Acushnet","MA",41.711894,-70.908286
"Acworth","GA",34.047039,-84.631595
"Acworth","NH",43.195982,-72.300075
"Ada","MI",43.014518,-85.53326675
"Ada","MN",47.325283,-96.597259
"Ada","OH",40.676042,-83.700633
"Ada","OK",34.742131,-96.677323
"Adah","PA",39.912105,-79.89636
"Adair","IA",41.439109,-94.633805
"Adair","IL",40.387329,-90.506582
"Adair","OK",36.43736,-95.26975
"Adairsville","GA",34.296339,-84.909216
"Adairville","KY",36.772851,-86.860422
"Adak","AK",54.24018,-176.787412
"Adamant","VT",44.174872,-72.502235
"Adams","KY",38.074113,-82.744663
"Adams","MA",42.385595,-73.172166
"Adams","MN",43.565168,-92.74389
"Adams","ND",48.383547,-97.997964
"Adams","NE",40.45603,-96.513526
"Adams","NY",43.960222,-75.905634
"Adams","OK",36.755,-101.077969
"Adams","OR",45.724767,-118.490788
"Adams","TN",36.556825,-87.018127
"Adams","WI",43.892066,-89.827509
"Adams Basin","NY",43.195261,-77.855883
"Adams Center","NY",43.831853,-76.007188
"Adams Run","SC",32.779028,-80.328772
"Adamsburg","PA",40.303771,-79.653058
"Adamstown","MD",39.291049,-77.455243
"Adamstown","PA",40.242327,-76.057696
"Adamsville","AL",33.578097,-86.987228
"Adamsville","OH",40.090767,-81.855203
"Adamsville","PA",41.629436,-80.214024
"Adamsville","RI",41.530131,-71.284066
"Adamsville","TN",35.271057,-88.447528
"Addieville","IL",38.381545,-89.579449
"Addington","OK",34.069661,-97.838026
"Addis","LA",30.362992,-91.263088
"Addison","AL",34.229897,-87.358538
"Addison","IL",41.887579,-88.022516
"Addison","ME",45.002969,-67.495548
"Addison","MI",41.985346,-84.314543
"Addison","NY",42.206391,-77.306185
"Addison","PA",39.752401,-79.330768
"Addison","TX",32.767268,-96.777626
"Addy","WA",48.336378,-117.957926
"Addyston","OH",39.135158,-84.709797
"Adel","GA",31.151742,-83.407143
"Adel","IA",41.617591,-94.034515
"Adel","OR",42.805272,-120.355294
"Adelanto","CA",34.839964,-115.967051
"Adell","WI",43.658488,-87.973717
"Adelphi","OH",39.466524,-82.754731
"Adelphia","NJ",40.302718,-74.24928
"Adena","OH",40.260579,-80.789377
"Adger","AL",33.437653,-87.207592
"Adin","CA",41.236677,-120.932949
"Adirondack","NY",43.708338,-73.794147
"Adjuntas","PR",18.165273,-66.722583
"Adkins","TX",29.368735,-98.253788
"Admire","KS",38.608394,-96.108283
"Adna","WA",46.571323,-123.298384
"Adolph","MN",47.640367,-92.442797
"Adolphus","KY",36.67931,-86.17603
"Adona","AR",34.943809,-92.923191
"Adrian","GA",32.56887,-82.540305
"Adrian","IL",40.416145,-91.205805
"Adrian","MI",41.889943,-84.065892
"Adrian","MN",43.620754,-95.953225
"Adrian","MO",38.397029,-94.380375
"Adrian","OH",41.090712,-83.365404
"Adrian","OR",43.785214,-117.368446
"Adrian","PA",40.855727,-79.545145
"Adrian","TX",35.40527,-102.602749
"Adrian","WV",38.899314,-80.226855
"Advance","IN",39.995599,-86.619774
"Advance","MO",37.001191,-90.033351
"Advance","NC",35.945381,-80.448686
"Advent","WV",38.824924,-81.70665
"Afton","IA",41.033593,-94.19714
"Afton","MI",45.366479,-84.429893
"Afton","MN",44.90717,-92.816193
"Afton","NY",42.255147,-75.533335
"Afton","OK",36.82215,-94.916222
"Afton","TN",36.227409,-82.734005
"Afton","TX",33.616428,-100.779303
"Afton","VA",37.972758,-78.82231
"Afton","WI",42.605454,-89.070448
"Afton","WY",42.711296,-110.619734
"Agana Heights","GU",13.444257,144.786297
"Agar","SD",44.802621,-100.158903
"Agat","GU",13.444257,144.786297
"Agate","CO",39.382335,-104.084781
"Agate","ND",48.770913,-99.772702
"Agawam","MA",42.140549,-72.788661
"Agency","IA",40.979036,-92.426183
"Agency","MO",39.631108,-94.714003
"Agenda","KS",39.70438,-97.446521
"Ages Brookside","KY",36.865351,-83.287927
"Agness","OR",42.656925,-124.133206
"Agoura Hills","CA",33.786594,-118.298662
"Agra","KS",39.760857,-99.119565
"Agra","OK",35.908981,-96.873793
"Agua Dulce","TX",27.836111,-97.530388
