"City","State","Year","Victim.Count","County"
"Anchorage","AK",1980,17,"Anchorage"
"Bethel","AK",1980,1,"Bethel"
"Juneau","AK",1980,22,"Juneau"
"Kenai Peninsula","AK",1980,1,"Kenai Peninsula"
"Nome","AK",1980,1,"Nome"
"North Slope","AK",1980,8,"North Slope"
"Autauga","AL",1980,2,"Autauga"
"Baldwin","AL",1980,4,"Baldwin"
"Barbour","AL",1980,2,"Barbour"
"Blount","AL",1980,7,"Blount"
"Bullock","AL",1980,1,"Bullock"
"Butler","AL",1980,4,"Butler"
"Calhoun","AL",1980,10,"Calhoun"
"Chambers","AL",1980,6,"Chambers"
"Chilton","AL",1980,2,"Chilton"
"Choctaw","AL",1980,1,"Choctaw"
"Clarke","AL",1980,3,"Clarke"
"Cleburne","AL",1980,12,"Cleburne"
"Coffee","AL",1980,3,"Coffee"
"Colbert","AL",1980,3,"Colbert"
"Conecuh","AL",1980,1,"Conecuh"
"Coosa","AL",1980,2,"Coosa"
"Covington","AL",1980,3,"Covington"
"Crenshaw","AL",1980,1,"Crenshaw"
"Cullman","AL",1980,3,"Cullman"
"Dale","AL",1980,2,"Dale"
"Dallas","AL",1980,4,"Dallas"
"De Kalb","AL",1980,1,"De Kalb"
"Elmore","AL",1980,17,"Elmore"
"Escambia","AL",1980,2,"Escambia"
"Etowah","AL",1980,14,"Etowah"
"Fayette","AL",1980,2,"Fayette"
"Franklin","AL",1980,2,"Franklin"
"Geneva","AL",1980,1,"Geneva"
"Greene","AL",1980,2,"Greene"
"Houston","AL",1980,7,"Houston"
"Jackson","AL",1980,5,"Jackson"
"Jefferson","AL",1980,130,"Jefferson"
"Lamar","AL",1980,1,"Lamar"
"Lauderdale","AL",1980,10,"Lauderdale"
"Lawrence","AL",1980,6,"Lawrence"
"Lee","AL",1980,6,"Lee"
"Limestone","AL",1980,4,"Limestone"
"Lowndes","AL",1980,1,"Lowndes"
"Macon","AL",1980,2,"Macon"
"Madison","AL",1980,30,"Madison"
"Marengo","AL",1980,3,"Marengo"
"Marion","AL",1980,1,"Marion"
"Marshall","AL",1980,5,"Marshall"
"Mobile","AL",1980,88,"Mobile"
"Montgomery","AL",1980,41,"Montgomery"
"Morgan","AL",1980,8,"Morgan"
"Perry","AL",1980,3,"Perry"
"Pickens","AL",1980,1,"Pickens"
"Pike","AL",1980,3,"Pike"
"Russell","AL",1980,9,"Russell"
"Shelby","AL",1980,4,"Shelby"
"St Clair","AL",1980,4,"St Clair"
"Sumter","AL",1980,4,"Sumter"
"Talladega","AL",1980,4,"Talladega"
"Tallapoosa","AL",1980,7,"Tallapoosa"
"Tuscaloosa","AL",1980,13,"Tuscaloosa"
"Walker","AL",1980,3,"Walker"
"Washington","AL",1980,4,"Washington"
"Wilcox","AL",1980,2,"Wilcox"
"Winston","AL",1980,1,"Winston"
"Arkansas","AR",1980,1,"Arkansas"
"Ashley","AR",1980,2,"Ashley"
"Benton","AR",1980,2,"Benton"
"Boone","AR",1980,2,"Boone"
"Bradley","AR",1980,3,"Bradley"
"Calhoun","AR",1980,1,"Calhoun"
"Chicot","AR",1980,2,"Chicot"
"Clark","AR",1980,2,"Clark"
"Clay","AR",1980,6,"Clay"
"Columbia","AR",1980,5,"Columbia"
"Conway","AR",1980,2,"Conway"
"Craighead","AR",1980,2,"Craighead"
"Crawford","AR",1980,3,"Crawford"
"Crittenden","AR",1980,10,"Crittenden"
"Drew","AR",1980,1,"Drew"
"Faulkner","AR",1980,2,"Faulkner"
"Franklin","AR",1980,1,"Franklin"
"Fulton","AR",1980,1,"Fulton"
"Garland","AR",1980,3,"Garland"
"Grant","AR",1980,2,"Grant"
"Greene","AR",1980,2,"Greene"
"Hempstead","AR",1980,1,"Hempstead"
"Hot Spring","AR",1980,5,"Hot Spring"
"Jackson","AR",1980,1,"Jackson"
"Jefferson","AR",1980,14,"Jefferson"
"Lafayette","AR",1980,2,"Lafayette"
"Lincoln","AR",1980,1,"Lincoln"
"Little River","AR",1980,2,"Little River"
"Lonoke","AR",1980,5,"Lonoke"
"Marion","AR",1980,1,"Marion"
"Miller","AR",1980,2,"Miller"
"Mississippi","AR",1980,13,"Mississippi"
"Montgomery","AR",1980,1,"Montgomery"
"Newton","AR",1980,1,"Newton"
"Ouachita","AR",1980,2,"Ouachita"
"Phillips","AR",1980,7,"Phillips"
"Pike","AR",1980,2,"Pike"
"Poinsett","AR",1980,3,"Poinsett"
"Polk","AR",1980,1,"Polk"
"Prairie","AR",1980,1,"Prairie"
"Pulaski","AR",1980,69,"Pulaski"
"Saline","AR",1980,3,"Saline"
"Sebastian","AR",1980,3,"Sebastian"
"Sevier","AR",1980,1,"Sevier"
"St Francis","AR",1980,1,"St Francis"
"Union","AR",1980,8,"Union"
"Van Buren","AR",1980,2,"Van Buren"
"Washington","AR",1980,6,"Washington"
"Woodruff","AR",1980,2,"Woodruff"
"Yell","AR",1980,2,"Yell"
"Cochise","AZ",1980,8,"Cochise"
"Coconino","AZ",1980,1,"Coconino"
"Gila","AZ",1980,11,"Gila"
"Graham","AZ",1980,1,"Graham"
"Maricopa","AZ",1980,167,"Maricopa"
"Mohave","AZ",1980,2,"Mohave"
"Navajo","AZ",1980,6,"Navajo"
"Pima","AZ",1980,58,"Pima"
"Pinal","AZ",1980,20,"Pinal"
"Santa Cruz","AZ",1980,1,"Santa Cruz"
"Yavapai","AZ",1980,3,"Yavapai"
"Yuma","AZ",1980,18,"Yuma"
"Alameda","CA",1980,191,"Alameda"
"Alpine","CA",1980,1,"Alpine"
"Butte","CA",1980,7,"Butte"
"Colusa","CA",1980,2,"Colusa"
"Contra Costa","CA",1980,52,"Contra Costa"
"Del Norte","CA",1980,3,"Del Norte"
"El Dorado","CA",1980,9,"El Dorado"
"Fresno","CA",1980,114,"Fresno"
"Glenn","CA",1980,2,"Glenn"
"Humboldt","CA",1980,19,"Humboldt"
"Imperial","CA",1980,18,"Imperial"
"Inyo","CA",1980,3,"Inyo"
"Kern","CA",1980,89,"Kern"
"Kings","CA",1980,5,"Kings"
"Lake","CA",1980,3,"Lake"
"Lassen","CA",1980,1,"Lassen"
"Los Angeles","CA",1980,1831,"Los Angeles"
"Madera","CA",1980,12,"Madera"
"Marin","CA",1980,16,"Marin"
"Mariposa","CA",1980,1,"Mariposa"
"Mendocino","CA",1980,8,"Mendocino"
"Merced","CA",1980,10,"Merced"
"Modoc","CA",1980,2,"Modoc"
"Mono","CA",1980,2,"Mono"
"Monterey","CA",1980,27,"Monterey"
"Napa","CA",1980,6,"Napa"
"Nevada","CA",1980,3,"Nevada"
"Orange","CA",1980,122,"Orange"
"Placer","CA",1980,9,"Placer"
"Plumas","CA",1980,3,"Plumas"
"Riverside","CA",1980,95,"Riverside"
"Sacramento","CA",1980,81,"Sacramento"
"San Benito","CA",1980,3,"San Benito"
"San Bernardino","CA",1980,151,"San Bernardino"
"San Diego","CA",1980,177,"San Diego"
"San Francisco","CA",1980,125,"San Francisco"
"San Joaquin","CA",1980,64,"San Joaquin"
"San Luis Obispo","CA",1980,16,"San Luis Obispo"
"San Mateo","CA",1980,37,"San Mateo"
"Santa Barbara","CA",1980,22,"Santa Barbara"
"Santa Clara","CA",1980,105,"Santa Clara"
"Santa Cruz","CA",1980,19,"Santa Cruz"
"Shasta","CA",1980,6,"Shasta"
"Siskiyou","CA",1980,1,"Siskiyou"
"Solano","CA",1980,17,"Solano"
"Sonoma","CA",1980,16,"Sonoma"
"Stnislaus","CA",1980,31,"Stnislaus"
"Sutter","CA",1980,7,"Sutter"
"Tehama","CA",1980,13,"Tehama"
"Tulare","CA",1980,34,"Tulare"
"Tuolumne","CA",1980,2,"Tuolumne"
"Ventura","CA",1980,40,"Ventura"
"Yolo","CA",1980,10,"Yolo"
"Yuba","CA",1980,7,"Yuba"
"Adams","CO",1980,12,"Adams"
"Alamosa","CO",1980,1,"Alamosa"
"Arapahoe","CO",1980,13,"Arapahoe"
"Archuleta","CO",1980,1,"Archuleta"
"Boulder","CO",1980,8,"Boulder"
"Clear Creek","CO",1980,1,"Clear Creek"
"Crowley","CO",1980,1,"Crowley"
"Denver","CO",1980,113,"Denver"
"Douglas","CO",1980,3,"Douglas"
"El Paso","CO",1980,19,"El Paso"
"Elbert","CO",1980,2,"Elbert"
"Fremont","CO",1980,2,"Fremont"
"Jefferson","CO",1980,3,"Jefferson"
"La Plata","CO",1980,1,"La Plata"
"Larimer","CO",1980,4,"Larimer"
"Mesa","CO",1980,4,"Mesa"
"Otero","CO",1980,1,"Otero"
"Park","CO",1980,1,"Park"
"Pueblo","CO",1980,4,"Pueblo"
"Rio Blanco","CO",1980,1,"Rio Blanco"
"Teller","CO",1980,4,"Teller"
"Weld","CO",1980,2,"Weld"
"Fairfield","CT",1980,40,"Fairfield"
"Hartford","CT",1980,56,"Hartford"
"Middlesex","CT",1980,3,"Middlesex"
"New Haven","CT",1980,52,"New Haven"
"New London","CT",1980,8,"New London"
"Tolland","CT",1980,1,"Tolland"
"Windham","CT",1980,1,"Windham"
"District Of Columbia","DC",1980,180,"District Of Columbia"
"Kent","DE",1980,6,"Kent"
"New Castle","DE",1980,36,"New Castle"
"Sussex","DE",1980,5,"Sussex"
"Alachua","FL",1980,14,"Alachua"
"Baker","FL",1980,3,"Baker"
"Bay","FL",1980,7,"Bay"
"Bradford","FL",1980,7,"Bradford"
"Brevard","FL",1980,17,"Brevard"
"Broward","FL",1980,189,"Broward"
"Calhoun","FL",1980,1,"Calhoun"
"Charlotte","FL",1980,1,"Charlotte"
"Citrus","FL",1980,2,"Citrus"
"Clay","FL",1980,3,"Clay"
"Collier","FL",1980,25,"Collier"
"Columbia","FL",1980,5,"Columbia"
"Dade","FL",1980,578,"Dade"
"De Soto","FL",1980,4,"De Soto"
"Dixie","FL",1980,2,"Dixie"
"Duval","FL",1980,86,"Duval"
"Escambia","FL",1980,29,"Escambia"
"Flagler","FL",1980,2,"Flagler"
"Franklin","FL",1980,1,"Franklin"
"Gadsden","FL",1980,6,"Gadsden"
"Glades","FL",1980,1,"Glades"
"Gulf","FL",1980,2,"Gulf"
"Hamilton","FL",1980,2,"Hamilton"
"Hardee","FL",1980,1,"Hardee"
"Hendry","FL",1980,3,"Hendry"
"Hernando","FL",1980,5,"Hernando"
"Highlands","FL",1980,7,"Highlands"
"Hillsborough","FL",1980,82,"Hillsborough"
"Holmes","FL",1980,3,"Holmes"
"Indian River","FL",1980,8,"Indian River"
"Jackson","FL",1980,4,"Jackson"
"Jefferson","FL",1980,2,"Jefferson"
"Lake","FL",1980,11,"Lake"
"Lee","FL",1980,22,"Lee"
"Leon","FL",1980,11,"Leon"
"Liberty","FL",1980,1,"Liberty"
"Madison","FL",1980,4,"Madison"
"Manatee","FL",1980,23,"Manatee"
"Marion","FL",1980,17,"Marion"
"Martin","FL",1980,6,"Martin"
"Monroe","FL",1980,7,"Monroe"
"Nassau","FL",1980,2,"Nassau"
"Okaloosa","FL",1980,8,"Okaloosa"
"Okeechobee","FL",1980,10,"Okeechobee"
"Orange","FL",1980,60,"Orange"
"Osceola","FL",1980,3,"Osceola"
"Palm Beach","FL",1980,63,"Palm Beach"
"Pasco","FL",1980,15,"Pasco"
"Pinellas","FL",1980,43,"Pinellas"
"Polk","FL",1980,40,"Polk"
"Putnam","FL",1980,9,"Putnam"
"Santa Rosa","FL",1980,3,"Santa Rosa"
"Sarasota","FL",1980,12,"Sarasota"
"Seminole","FL",1980,8,"Seminole"
"St Johns","FL",1980,9,"St Johns"
"St Lucie","FL",1980,14,"St Lucie"
"Sumter","FL",1980,3,"Sumter"
"Taylor","FL",1980,4,"Taylor"
"Union","FL",1980,1,"Union"
"Volusia","FL",1980,21,"Volusia"
"Wakulla","FL",1980,2,"Wakulla"
"Walton","FL",1980,3,"Walton"
"Washington","FL",1980,1,"Washington"
"Appling","GA",1980,1,"Appling"
"Baker","GA",1980,1,"Baker"
"Baldwin","GA",1980,2,"Baldwin"
"Barrow","GA",1980,4,"Barrow"
"Bartow","GA",1980,1,"Bartow"
"Ben Hill","GA",1980,2,"Ben Hill"
"Berrien","GA",1980,2,"Berrien"
"Bibb","GA",1980,16,"Bibb"
"Bulloch","GA",1980,1,"Bulloch"
"Burke","GA",1980,1,"Burke"
"Carroll","GA",1980,3,"Carroll"
"Catoosa","GA",1980,1,"Catoosa"
"Charlton","GA",1980,1,"Charlton"
"Chatham","GA",1980,27,"Chatham"
"Chattooga","GA",1980,1,"Chattooga"
"Cherokee","GA",1980,1,"Cherokee"
"Clarke","GA",1980,1,"Clarke"
"Clayton","GA",1980,5,"Clayton"
